R0uta,Afro House,Ambient,Deep House,Pop/Dance,Techno,Trance,Progressive House,RMS,Tiempo Inicio,Tiempo Fin,ZCR,Mean Absolute Amplitude,Crest Factor,Standard Deviation of Amplitude,Spectral Centroid,Spectral Bandwidth,Spectral Roll-off,Spectral Flux,VAD,Spectral Variation,Tempo
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_12.png,0,0,0,0,0,0,1,0.2584135,1:00,1:05,0.03515625,0.20821857,4.7063427,0.2636685,3794.115601738325,3689.5150238973156,7739.812595163863,1.0679111,1,2.3629873,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_13.png,0,0,0,0,0,0,1,0.34308696,1:05,1:10,0.04296875,0.28217763,4.0293846,0.34674892,4647.27113258167,4163.692923647855,9662.063152552204,0.98223674,1,3.027795,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_14.png,0,0,0,0,0,0,1,0.39878616,1:10,1:15,0.0517578125,0.33411282,3.7263482,0.40623903,3772.2138202466967,3881.416181142564,8211.194895591647,1.0969718,1,3.0622861,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_15.png,0,0,0,0,0,0,1,0.40599567,1:15,1:20,0.0234375,0.340091,4.5152116,0.41231787,3785.4864007383385,3898.529580343967,8254.011496700987,1.1126322,1,3.1055336,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_16.png,0,0,0,0,0,0,1,0.43015462,1:20,1:25,0.03955078125,0.35673586,3.603628,0.4358186,3959.385189938307,3945.4917752027195,8487.629264247389,1.0381284,1,3.47307,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_17.png,0,0,0,0,0,0,1,0.22165725,1:25,1:30,0.021484375,0.17785132,5.6508927,0.2321811,3286.241810800391,3484.93062310805,6961.1699717227375,1.0628743,1,2.2621179,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_18.png,0,0,0,0,0,0,1,0.20969342,1:30,1:35,0.02294921875,0.16789794,5.0215907,0.21683097,2610.6561529566516,3355.315532397269,5540.827902950986,1.1025331,1,1.7905906,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_19.png,0,0,0,0,0,0,1,0.25384736,1:35,1:40,0.05078125,0.2058131,4.749404,0.26343796,3495.4070762880465,3778.3084495531075,7515.837306046984,1.1079575,1,2.6969402,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_20.png,0,0,0,0,0,0,1,0.25921813,1:40,1:45,0.03857421875,0.20866647,4.895337,0.26438427,3741.3907404350753,3901.7646578573626,8008.253199318446,0.95961106,1,2.5414863,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_21.png,0,0,0,0,0,0,1,0.2630752,1:45,1:50,0.0341796875,0.21277985,5.0048966,0.26870835,3268.1717313809704,3755.471611755089,7174.053912594258,1.0174958,1,2.3120024,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_22.png,0,0,0,0,0,0,1,0.25619158,1:50,1:55,0.0546875,0.2068796,4.492417,0.26099533,3522.1383114884206,3853.1094679848006,7609.9638830481435,1.0491569,1,2.3845835,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_23.png,0,0,0,0,0,0,1,0.3201737,1:55,2:00,0.021484375,0.2630993,4.66924,0.32726446,3413.4111168561503,3745.948765044374,7242.300677022912,1.0730869,1,2.861999,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_24.png,0,0,0,0,0,0,1,0.3001571,2:00,2:05,0.02978515625,0.24487697,4.325955,0.3072175,3763.450931467693,3858.6449496977975,7981.324205155162,1.0688441,1,2.7299795,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_25.png,0,0,0,0,0,0,1,0.3369578,2:05,2:10,0.02685546875,0.27532727,4.07262,0.34081534,4586.92794962066,4105.806561165313,9457.322859266242,1.0130459,1,3.0103667,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_26.png,0,0,0,0,0,0,1,0.40478218,2:10,2:15,0.06982421875,0.33786497,3.5591464,0.411117,3961.488979275386,3964.077302817258,8571.713674593968,1.0402675,1,3.1538534,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_27.png,0,0,0,0,0,0,1,0.4169585,2:15,2:20,0.0283203125,0.3486443,3.5328524,0.42224586,3708.27565147284,3864.516046903439,8133.255691705336,1.0734655,1,3.1712794,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_28.png,0,0,0,0,0,0,1,0.43762314,2:20,2:25,0.04833984375,0.3641136,4.169117,0.44187,3971.4640106436173,3919.9581844091704,8490.07735462587,1.0384434,1,3.4825144,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_29.png,0,0,0,0,0,0,1,0.41264528,2:25,2:30,0.037109375,0.34323937,3.5376167,0.41781184,3940.613928277962,3943.897543391515,8521.602763377321,1.0109459,1,3.2940853,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_30.png,0,0,0,0,0,0,1,0.422452,2:30,2:35,0.048828125,0.353508,3.373602,0.42736265,3700.009881478307,3845.9416957432645,8097.83332275957,1.0298288,1,3.2498834,126.04801829268293
espectrogramas_salida1\====David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_31.png,0,0,0,0,0,0,1,0.39540714,2:35,2:40,0.0205078125,0.3250342,3.8861487,0.40062279,4149.833196362746,3907.5640005016794,8650.55217698666,1.0206673,1,3.524485,126.04801829268293
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_0.png,0,0,0,0,0,0,1,0.08376467,0:00,0:05,0.126953125,0.06776565,8.319953,0.0923634,1789.1651112921322,1836.5433242397492,2503.447197650812,0.92087835,1,0.3422117,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_1.png,0,0,0,0,0,0,1,0.123692036,0:05,0:10,0.00634765625,0.10012537,7.0875306,0.13541298,2696.3898429871533,3056.602635905552,5530.236164986949,1.0409781,1,1.1335504,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_2.png,0,0,0,0,0,0,1,0.16901654,0:10,0:15,0.0302734375,0.13716638,5.237605,0.17598002,2996.3731827622487,3300.7711408631844,6317.422124238689,1.3473285,1,1.5670804,132.51201923076923
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_3.png,0,0,0,0,0,0,1,0.17005017,0:15,0:20,0.03369140625,0.13797238,5.4592457,0.17798409,2962.031825111806,3115.9918852192836,5984.931482018562,1.2982534,1,1.5874169,143.5546875
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_4.png,0,0,0,0,0,0,1,0.16376515,0:20,0:25,0.0322265625,0.13346484,5.6872478,0.17143397,2585.4847413450816,2933.098798724368,5408.780905597448,1.1582257,1,1.4522699,156.60511363636363
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_5.png,0,0,0,0,0,0,1,0.15242459,0:25,0:30,0.0087890625,0.124770835,7.118814,0.17676388,2256.30637132279,2586.136665521569,4778.922223934164,0.9713322,1,1.3521085,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_6.png,0,0,0,0,0,0,1,0.23633556,0:30,0:35,0.021484375,0.19558555,4.4264603,0.25127497,2954.161062885527,3465.074796844116,6492.685410926624,1.224058,1,1.8784013,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_7.png,0,0,0,0,0,0,1,0.22054483,0:35,0:40,0.01611328125,0.18309107,4.6636558,0.23938213,2997.236372773891,3415.2936097661973,6473.300532011311,1.2592934,1,1.8502576,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_8.png,0,0,0,0,0,0,1,0.22682202,0:40,0:45,0.01806640625,0.18813042,4.492748,0.24468397,3081.1256790961975,3542.7301298876737,6771.1681817357885,1.1789995,1,1.9012617,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_9.png,0,0,0,0,0,0,1,0.17421259,0:45,0:50,0.005859375,0.14315541,5.626006,0.19062686,3057.9524182040773,3502.255664379149,6646.66529963022,1.1339433,1,1.5175095,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_10.png,0,0,0,0,0,0,1,0.14948547,0:50,0:55,0.013671875,0.12101125,6.1325626,0.16277699,3310.5818599039267,3254.542716414486,6449.419160564095,1.2158837,1,1.5445161,126.04801829268293
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_11.png,0,0,0,0,0,0,1,0.16605319,0:55,1:00,0.1572265625,0.1340702,5.585513,0.17781615,2856.9773159647602,3009.890401999239,5716.490877863979,1.2431685,1,1.6797885,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_12.png,0,0,0,0,0,0,1,0.19835058,1:00,1:05,0.013671875,0.16146797,5.49332,0.20881087,2985.6224892683795,3289.4628768511907,6059.373413935615,0.9896089,1,1.8027228,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_13.png,0,0,0,0,0,0,1,0.26065403,1:05,1:10,0.0263671875,0.21320188,4.222319,0.26800072,3040.6637063421426,3376.3290323029673,6329.312848934164,0.9498518,1,2.0215516,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_14.png,0,0,0,0,0,0,1,0.26050708,1:10,1:15,0.0146484375,0.21302854,4.1155024,0.2679051,3195.9897538605646,3398.9337970525803,6818.0316261238395,0.9743787,1,2.072537,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_15.png,0,0,0,0,0,0,1,0.23488119,1:15,1:20,0.013671875,0.19135548,5.6129737,0.24649096,3488.216564582049,3641.399233353118,7382.241516821346,1.0593189,1,2.0415287,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_16.png,0,0,0,0,0,0,1,0.3512602,1:20,1:25,0.02587890625,0.29163533,4.110567,0.3556695,3777.983900620292,4186.458751389719,8749.774778857309,1.0409975,1,2.233363,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_17.png,0,0,0,0,0,0,1,0.35741615,1:25,1:30,0.0087890625,0.2973369,5.4655924,0.36077717,3522.042253458987,4036.385444453391,8084.593650304524,1.0684501,1,2.2295218,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_18.png,0,0,0,0,0,0,1,0.34908712,1:30,1:35,0.0166015625,0.29024124,4.02386,0.35346696,3548.352732007677,4031.953937924482,8127.56013449826,1.0747567,1,2.3132257,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_19.png,0,0,0,0,0,0,1,0.13223244,1:35,1:40,0.0166015625,0.10715673,8.98254,0.1494328,2256.46649285334,2588.6494062991305,4780.570937862529,0.8531728,1,1.4754206,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_20.png,0,0,0,0,0,0,1,0.23659913,1:40,1:45,0.052734375,0.19618553,4.307899,0.25880858,3397.5003202660573,3722.178067682465,7554.956791074536,1.1552184,1,1.9673665,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_21.png,0,0,0,0,0,0,1,0.22938746,1:45,1:50,0.00390625,0.19036375,4.438567,0.25360146,3062.9764184503356,3525.2290548358583,6611.392813768852,1.2339958,1,1.9241047,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_22.png,0,0,0,0,0,0,1,0.22786127,1:50,1:55,0.009765625,0.18847606,4.562766,0.25286907,3258.3743781610588,3591.4787401615235,7107.006212840777,1.2247667,1,1.9378412,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_23.png,0,0,0,0,0,0,1,0.2761782,1:55,2:00,0.021484375,0.2296898,4.0750756,0.2886913,3397.605822115202,3888.311117041533,7767.441043720998,1.1320785,1,2.076546,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_24.png,0,0,0,0,0,0,1,0.29096007,2:00,2:05,0.0341796875,0.24311593,3.7715259,0.3002532,3141.836470305541,3902.3082654170375,7521.183136057135,1.1214981,1,1.8370457,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_25.png,0,0,0,0,0,0,1,0.2894116,2:05,2:10,0.02490234375,0.24206403,3.751595,0.29955062,3101.3488179569144,3845.2990339061193,7301.204729190836,1.1621554,1,1.936597,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_26.png,0,0,0,0,0,0,1,0.18120699,2:10,2:15,0.01513671875,0.14748785,4.9851184,0.1918096,3644.841259741357,3735.046563605306,7760.996071091938,1.0985662,1,1.7797978,123.046875
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_27.png,0,0,0,0,0,0,1,0.14692695,2:15,2:20,0.0263671875,0.118385985,6.1816974,0.16134386,3520.3713596578636,3195.5106631125714,6649.812844402552,1.260105,1,1.6204485,126.04801829268293
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_28.png,0,0,0,0,0,0,1,0.16113614,2:20,2:25,0.01416015625,0.13044567,6.1922,0.17520425,2783.9501081185313,3001.297076207557,5529.037100311775,1.2263386,1,1.5805213,117.45383522727273
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_29.png,0,0,0,0,0,0,1,0.22572966,2:25,2:30,0.0107421875,0.18451142,4.832963,0.23785183,3218.0348413634015,3435.914332214265,6637.872158678944,1.0347693,1,2.061803,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_30.png,0,0,0,0,0,0,1,0.2927329,2:30,2:35,0.01318359375,0.24281062,3.8196347,0.29843432,3444.2919695568294,3806.164592981026,7543.565676660382,1.0530511,1,2.0766737,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_31.png,0,0,0,0,0,0,1,0.295164,2:35,2:40,0.06640625,0.24432258,4.418724,0.30108303,3271.158068525556,3655.5936723216782,7221.317045207366,1.067295,1,2.2477007,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_32.png,0,0,0,0,0,0,1,0.26041046,2:40,2:45,0.02978515625,0.21456988,4.2227497,0.26873454,3605.492825120142,3818.030332395807,7876.106279908643,1.0390872,1,2.1955929,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_33.png,0,0,0,0,0,0,1,0.22477007,2:45,2:50,0.04931640625,0.18084624,4.8104753,0.2306877,3611.4823668751974,3721.516495051596,7525.229979335847,1.0444049,1,2.0050995,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_34.png,0,0,0,0,0,0,1,0.22865759,2:50,2:55,0.0244140625,0.1845407,5.3569083,0.2339828,3605.145263994845,3687.6272467442063,7633.595449354699,1.0671105,1,1.9865808,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_35.png,0,0,0,0,0,0,1,0.23004352,2:55,3:00,0.0205078125,0.1864894,6.0363483,0.23818967,3542.7253826541823,3639.3104761086015,7410.419536687935,1.0413206,1,2.037526,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_36.png,0,0,0,0,0,0,1,0.35578606,3:00,3:05,0.03271484375,0.2950292,4.047548,0.36007547,3718.541182172718,4149.517299455489,8617.128249166184,1.0454682,1,2.2427115,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_37.png,0,0,0,0,0,0,1,0.3554017,3:05,3:10,0.0068359375,0.2954192,4.458077,0.35867018,3475.1370227266766,4004.411077021855,7978.82615374855,1.0685108,1,2.2082388,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_38.png,0,0,0,0,0,0,1,0.35321134,3:10,3:15,0.017578125,0.293805,3.6927273,0.35741436,3513.821066813403,4006.945897220447,8062.261070729408,1.0775028,1,2.319212,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_39.png,0,0,0,0,0,0,1,0.3268432,3:15,3:20,0.017578125,0.2693203,5.331186,0.33432478,3990.506708226571,4242.253842065397,9150.212419337297,1.0114326,1,2.359837,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_40.png,0,0,0,0,0,0,1,0.3610073,3:20,3:25,0.0263671875,0.29965284,4.2461443,0.36426657,3619.381923684798,4104.06915808093,8406.692398673144,1.0580001,1,2.2248337,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_41.png,0,0,0,0,0,0,1,0.35817072,3:25,3:30,0.0146484375,0.29718193,4.136221,0.361366,3542.7329342179983,4071.7567297297282,8265.902221396462,1.0734969,1,2.2271883,120.18531976744185
espectrogramas_salida1\==Kygo - Feels Like Forever w_ Jamie N Commons (Official Audio) (320 kbps)_fragmento_42.png,0,0,0,0,0,0,1,0.16799618,3:30,3:35,0.0283203125,0.13882788,7.7566204,0.20874454,3089.1936152690996,3459.516070065093,6622.584084070476,0.8203333,1,2.1378517,120.18531976744185
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_0.png,0,0,0,0,0,0,1,0.03416607,0:00,0:05,0.126953125,0.02823333,10.154624,0.041257057,2961.251139124312,1764.4610992152452,4574.2818527044665,0.7957998,1,0.3152638,132.51201923076923
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_1.png,0,0,0,0,0,0,1,0.073557675,0:05,0:10,0.01220703125,0.06031286,4.9619193,0.07648788,651.8152390003345,664.4441350962986,1010.9114432279582,0.6400833,1,0.22758828,129.19921875
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_2.png,0,0,0,0,0,0,1,0.09405204,0:10,0:15,0.0205078125,0.07572514,5.161278,0.09558129,722.4922673623781,730.1325624369038,1117.6781603465777,0.66956925,1,0.30358857,129.19921875
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_3.png,0,0,0,0,0,0,1,0.1314105,0:15,0:20,0.01318359375,0.10692729,6.20589,0.13790075,1566.7661771219018,1946.5741882295383,3249.765035890371,0.78293514,1,0.9679933,117.45383522727273
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_4.png,0,0,0,0,0,0,1,0.1569601,0:20,0:25,0.01171875,0.124702044,5.9306927,0.16354552,2009.0736824098371,2448.589474910169,3911.398931445766,0.91093314,1,1.1430061,123.046875
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_5.png,0,0,0,0,0,0,1,0.17561427,0:25,0:30,0.02197265625,0.14059605,4.9429107,0.18079427,2104.03948155905,2503.706223126611,4129.778585411833,0.93035424,1,1.3039097,132.51201923076923
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_6.png,0,0,0,0,0,0,1,0.15639813,0:30,0:35,0.0283203125,0.12439063,6.097576,0.16492191,2486.0267312723404,2854.9480319466466,5092.427675464037,1.0072906,1,1.399683,123.046875
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_7.png,0,0,0,0,0,0,1,0.17997248,0:35,0:40,0.03173828125,0.14258912,4.8238964,0.18787315,2312.579222977616,2724.1869155517647,4582.175695149362,1.0352229,1,1.5732862,126.04801829268293
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_8.png,0,0,0,0,0,0,1,0.18237491,0:40,0:45,0.02490234375,0.14609517,4.9884152,0.1865535,2072.9511515995214,2476.929233201339,4118.637276138341,0.9626315,1,1.3728217,139.6748310810811
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_9.png,0,0,0,0,0,0,1,0.2377905,0:45,0:50,0.02294921875,0.1905475,4.840613,0.24559347,2499.1912572598235,3001.1142681548104,5305.461499419954,0.97593856,1,1.8956486,135.99917763157896
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_10.png,0,0,0,0,0,0,1,0.24098288,0:50,0:55,0.0205078125,0.19376048,4.40001,0.2448171,2393.9299689294894,2933.620386443,5254.251445584397,0.91351795,1,1.7082583,129.19921875
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_11.png,0,0,0,0,0,0,1,0.23742174,0:55,1:00,0.029296875,0.19090763,4.435442,0.2429268,2544.358365385633,3070.035734964754,5447.101014174884,0.94791067,1,1.680697,129.19921875
espectrogramas_salida1\==Martin Garrix & Matisse & Sadko - Together (320 kbps)_fragmento_12.png,0,0,0,0,0,0,1,0.23409092,1:00,1:05,0.02001953125,0.18651208,5.0647254,0.23862366,2414.568872980048,3102.3986567526813,5106.616607453596,0.9159897,1,1.6087576,129.19921875
