Ruta,Break,Pre-Drop,Drop,Valencia_0.0,Valencia_0.1,Valencia_0.2,Valencia_0.3,Valencia_0.4,Valencia_0.5,Valencia_0.6,Valencia_0.7,Valencia_0.8,Valencia_0.9,Valencia_1.0,Arousal_0.0,Arousal_0.1,Arousal_0.2,Arousal_0.3,Arousal_0.4,Arousal_0.5,Arousal_0.6,Arousal_0.7,Arousal_0.8,Arousal_0.9,Arousal_1.0,Tiempo Inicio,Tiempo Fin,RMS,ZCR,Mean Absolute Amplitude,Crest Factor,Standard Deviation of Amplitude,Spectral Centroid,Spectral Bandwidth,Spectral Roll-off,Spectral Flux,VAD,Spectral Variation,Tempo
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_22.png,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1:50,1:55,0.26480293,0.03076171875,0.21363516,4.8196225,0.2770338,3174.110423145356,3000.658515874516,5953.805761492169,1.2220341,1,2.6927063,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_23.png,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1:55,2:00,0.27339917,0.03076171875,0.2209505,5.444539,0.28411347,3033.830570810173,2949.440137289602,5632.706233686195,1.2222474,1,2.751445,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_24.png,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2:00,2:05,0.26602834,0.03955078125,0.21457608,5.3665814,0.27709556,3271.945757532751,3017.468249979594,6175.682687427494,1.2345256,1,2.6517675,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_25.png,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2:05,2:10,0.26449525,0.02880859375,0.21225819,4.752849,0.27277356,3262.606677526373,3011.070547698899,6150.602251305105,1.1823937,1,2.4762216,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_26.png,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2:10,2:15,0.26556382,0.03515625,0.2139794,4.523871,0.27213085,3321.948424025385,3103.392565277477,6404.304352160673,1.1160538,1,2.3747227,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_27.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2:15,2:20,0.3128381,0.0537109375,0.26156074,4.0953846,0.34931377,3177.704981214792,3183.816935594254,6425.78759425754,1.2922242,1,2.5357528,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_28.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2:20,2:25,0.41957605,0.00634765625,0.35740402,3.068466,0.4283533,2671.306114151232,3129.237167509112,5730.829692937935,1.413822,1,2.330038,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_29.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2:25,2:30,0.4159181,0.005859375,0.3545777,3.1270804,0.42605346,2564.080257938617,3117.169986496979,5552.318939421404,1.4646342,1,2.2988203,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_30.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2:30,2:35,0.3813856,0.0087890625,0.3240686,3.4709642,0.40180698,2640.593142387926,3071.14434975275,5738.323847157772,1.418843,1,2.331928,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_31.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2:35,2:40,0.41778678,0.00634765625,0.35623395,3.418194,0.42688292,2653.988998743729,3199.796199054503,5806.720494670823,1.4646412,1,2.3235455,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_32.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2:40,2:45,0.41523618,0.005859375,0.35438916,3.1485908,0.42544094,2561.651197949593,3174.488138724018,5650.991969982599,1.4935385,1,2.2986324,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_33.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2:45,2:50,0.31649718,0.005859375,0.26516372,4.062582,0.35278028,3018.333649465343,3153.874804795371,6191.220567176624,1.3935145,1,2.4825976,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_34.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2:50,2:55,0.4190465,0.00732421875,0.357057,3.1820073,0.42862156,2599.833556033794,3165.075160341533,5691.460402769721,1.6022247,1,2.3099344,129.19921875
espectrogramas_salida_secciones_2\CID vs Spankox - To the Club (Official Lyric Video) (320 kbps)_fragmento_35.png,0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2:55,3:00,0.4168275,0.00390625,0.3555984,3.3497493,0.42732918,2444.553969795887,3098.314640764476,5299.865864269142,1.8045938,1,2.3079286,129.19921875
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_0.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0:00,0:05,0.09526007,0.27392578125,0.07706553,5.22488,0.10320077,2724.677782463124,2420.179422560228,4861.008193155452,1.018752,1,0.68343383,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_1.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0:05,0:10,0.15228282,0.0146484375,0.12423893,7.2709994,0.16483895,2104.193459242927,2488.916305617937,4236.395419446056,1.0054026,1,1.4558346,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_2.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0:10,0:15,0.20533773,0.02392578125,0.164502,5.8683543,0.21321304,2415.617978914124,2719.473932535448,4778.472574680975,1.0767372,1,2.0590656,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_3.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0:15,0:20,0.17114505,0.01904296875,0.13739982,6.443517,0.17540367,2317.94235728579,2728.662298633572,4701.932279582366,1.0517071,1,1.5106226,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_4.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0:20,0:25,0.23646101,0.017578125,0.18958034,4.806126,0.24344462,2874.259969270974,3254.750960522736,6155.59835411833,1.0138776,1,2.2612128,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_5.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0:25,0:30,0.2155453,0.01953125,0.17266913,5.6666746,0.22065982,3250.548079328261,3430.072792793107,6675.892501087587,1.0222467,1,2.2131972,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_6.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0:30,0:35,0.23069261,0.0302734375,0.18711081,5.434734,0.23617278,3142.694705209798,3543.234397056315,6564.979018633991,1.0904233,1,2.200258,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_7.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0:35,0:40,0.24820574,0.03759765625,0.20027432,5.311231,0.25528502,3381.200628200826,3684.100633087581,7137.132712804524,1.0565013,1,2.4157467,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_8.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:40,0:45,0.28376117,0.017578125,0.23205301,4.3587203,0.29026419999999997,3032.79828623252,3489.664069280569,6350.246519721578,1.1033143,1,2.5138328,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_9.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:45,0:50,0.27755892,0.0224609375,0.2272807,4.289292,0.28712127,3360.060239436381,3664.145856338677,7081.276283352669,1.1003869,1,2.5576537,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_10.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:50,0:55,0.28376362,0.01953125,0.23083742,4.967228,0.28794557,3622.414210967279,3839.467246532842,7842.682352088167,1.0484676,1,2.5883222,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_11.png,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0:55,1:00,0.2509809,0.0302734375,0.20243347,3.8965132,0.25701675,2213.89003244126,2432.441649945707,4546.453560034803,1.0700955,1,1.8810167,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_12.png,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1:00,1:05,0.2584135,0.03515625,0.20821857,4.7063427,0.2636685,3794.115601738325,3689.515023897316,7739.812595163863,1.0679111,1,2.3629873,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_13.png,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1:05,1:10,0.34308696,0.04296875,0.28217763,4.0293846,0.34674892,4647.27113258167,4163.692923647855,9662.063152552204,0.98223674,1,3.027795,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_14.png,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1:10,1:15,0.39878616,0.0517578125,0.33411282,3.7263482,0.40623903,3772.213820246697,3881.416181142564,8211.194895591647,1.0969718,1,3.0622861,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_15.png,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1:15,1:20,0.40599567,0.0234375,0.340091,4.5152116,0.41231787,3785.486400738338,3898.529580343967,8254.011496700987,1.1126322,1,3.1055336,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_16.png,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1:20,1:25,0.43015462,0.03955078125,0.35673586,3.603628,0.4358186,3959.385189938307,3945.49177520272,8487.629264247389,1.0381284,1,3.47307,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_17.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:25,1:30,0.22165725,0.021484375,0.17785132,5.6508927,0.2321811,3286.241810800391,3484.93062310805,6961.169971722738,1.0628743,1,2.2621179,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_18.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:30,1:35,0.20969342,0.02294921875,0.16789794,5.0215907,0.21683097,2610.656152956652,3355.315532397269,5540.827902950986,1.1025331,1,1.7905906,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_19.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:35,1:40,0.25384736,0.05078125,0.2058131,4.749404,0.26343796,3495.407076288046,3778.308449553108,7515.837306046984,1.1079575,1,2.6969402,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_20.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:40,1:45,0.25921813,0.03857421875,0.20866647,4.895337,0.26438427,3741.390740435075,3901.764657857362,8008.253199318446,0.95961106,1,2.5414863,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_21.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1:45,1:50,0.2630752,0.0341796875,0.21277985,5.0048966,0.26870835,3268.17173138097,3755.471611755089,7174.053912594258,1.0174958,1,2.3120024,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_22.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1:50,1:55,0.25619158,0.0546875,0.2068796,4.492417,0.26099533,3522.138311488421,3853.109467984801,7609.963883048143,1.0491569,1,2.3845835,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_23.png,1,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1:55,2:00,0.3201737,0.021484375,0.2630993,4.66924,0.32726446,3413.41111685615,3745.948765044374,7242.300677022912,1.0730869,1,2.861999,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_24.png,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2:00,2:05,0.3001571,0.02978515625,0.24487697,4.325955,0.3072175,3763.450931467693,3858.644949697798,7981.324205155162,1.0688441,1,2.7299795,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_25.png,0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2:05,2:10,0.3369578,0.02685546875,0.27532727,4.07262,0.34081534,4586.92794962066,4105.806561165313,9457.322859266242,1.0130459,1,3.0103667,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_26.png,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2:10,2:15,0.40478218,0.06982421875,0.33786497,3.5591464,0.411117,3961.488979275386,3964.077302817258,8571.713674593968,1.0402675,1,3.1538534,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_27.png,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2:15,2:20,0.4169585,0.0283203125,0.3486443,3.5328524,0.42224586,3708.27565147284,3864.516046903439,8133.255691705336,1.0734655,1,3.1712794,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_28.png,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2:20,2:25,0.43762314,0.04833984375,0.3641136,4.169117,0.44187,3971.464010643617,3919.958184409169,8490.07735462587,1.0384434,1,3.4825144,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_29.png,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2:25,2:30,0.41264528,0.037109375,0.34323937,3.5376167,0.41781184,3940.613928277962,3943.897543391515,8521.602763377321,1.0109459,1,3.2940853,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_30.png,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2:30,2:35,0.422452,0.048828125,0.353508,3.373602,0.42736265,3700.009881478307,3845.941695743265,8097.83332275957,1.0298288,1,3.2498834,126.0480182926829
espectrogramas_salida_secciones_2\David Guetta & Alesso - Never Going Home Tonight (Feat. Madison Love)_fragmento_31.png,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2:35,2:40,0.39540714,0.0205078125,0.3250342,3.8861487,0.40062279,4149.833196362746,3907.56400050168,8650.55217698666,1.0206673,1,3.524485,126.0480182926829
espectrogramas_salida_secciones_2\Don Diablo & Sandro Cavazza - Young Again _ Official Music Video (320 kbps)_fragmento_0.png,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0:00,0:05,0.1076593473553658,0.126953125,0.08739413321018219,4.896281242370605,0.11111219227314,1861.575199349388,2246.41632110414,3657.496986477668,1.457858920097351,1,0.4732073545455933,126.0480182926829
